IDind,daily_calories_2000,daily_calories_2011,height_cm_2000,height_cm_2011,age_2000,age_2011
322305015003,3570.7397635220127,1082.455013,169.6,174.4,14.0,25.0
322305020003,1464.57215,2186.9334705555557,107.1,173.2,4.0,15.0
322402002003,2190.903617,919.1876843333334,155.5,157.5,15.0,26.0
322402006041,1066.5071222222223,1744.0430565238094,108.4,158.5,5.0,16.0
322402014005,1820.4496603333334,2197.4298333333336,,162.5,11.0,22.0
322402017042,1362.2086456666666,1883.126336666667,,165.0,4.0,15.0
322402082003,875.9111111111112,2657.1425783333334,,171.0,5.0,16.0
322402084003,694.9236111111112,2522.836070111111,93.2,151.0,4.0,15.0
322402121003,733.5013888888889,1418.7917063333334,,155.5,4.0,14.0
322402123003,1468.1633333333336,2187.6261255555555,,173.5,7.0,18.0
322403010003,2140.128654,1617.2851597222223,155.0,171.5,13.0,24.0
371103006022,2040.0288513333335,3256.8811730363263,136.0,178.0,9.0,20.0
371103010061,1127.3144743333335,1313.9467187500002,92.0,148.5,2.0,13.0
371103064003,2594.795894444445,1749.4924966666665,158.0,160.0,15.0,27.0
371103065003,2896.8731559999997,3686.148059333333,178.0,178.0,16.0,27.0
371103066003,3729.616021222222,3359.630476,176.0,174.0,19.0,30.0
371108004005,603.1361408888888,2396.5623658333334,,165.0,1.0,12.0
371108007003,2339.2884513333333,1938.6150574166666,161.0,165.0,14.0,25.0
371108011004,2345.929456,1793.1656996666668,,176.0,14.0,25.0
371108013005,974.3656094166666,1935.6684519444443,,160.0,7.0,18.0
371108017003,2111.353829,2879.4510468333333,169.0,165.0,14.0,25.0
371108019003,2208.669690888889,2202.1555355,160.0,160.0,16.0,28.0
371203045003,2522.2955506666667,1472.623319333333,155.0,166.0,12.0,23.0
371203057003,3162.2547195833336,1046.9027290000001,164.0,172.0,14.0,24.0
372101001004,1342.1476426666666,2037.750108,139.0,159.7,12.0,23.0
372101008005,1527.2446706666667,3092.089910416667,160.0,174.4,14.0,25.0
372101045004,3402.8628377499995,2195.3405852499995,155.0,161.2,14.0,25.0
372101047003,1902.0236275,2507.755979,172.6,173.0,18.0,29.0
372102018004,2045.72587225,2406.5167735,143.0,165.5,12.0,23.0
372102041004,2495.8118716666663,2315.3067324999997,160.0,173.7,13.0,24.0
372102042004,2114.941445666667,1691.450975388889,145.0,156.5,13.0,24.0
372102042005,2177.4278839999997,1787.647067888889,158.0,167.5,11.0,22.0
372103008003,2136.53994,2737.136121666667,160.0,173.5,13.0,24.0
372103008004,2523.1207523333337,2406.4177693333336,147.0,174.6,10.0,21.0
372103018003,1058.9291006666667,2777.805288333333,165.0,166.1,18.0,29.0
372104001004,1732.786589666667,2803.5653849999994,154.0,173.5,12.0,23.0
372104002004,1911.2540374999999,2905.9630153333333,150.0,181.2,13.0,23.0
372201014006,1636.4941998333334,2365.271338,175.0,177.0,16.0,27.0
372202124003,959.9650000000001,3365.7609379999994,105.0,175.5,4.0,15.0
372203012006,1672.7462939999998,2124.193501333333,160.0,160.0,17.0,28.0
372204001005,1967.6195493333332,1904.6763858333334,172.0,174.0,15.0,26.0
372204015003,2992.816824333333,1891.5428525,,177.2,11.0,22.0
372204016003,1522.2893776666667,3263.5551644444445,157.0,172.0,12.0,23.0
372204018005,2115.5142183333332,2688.9114193333335,140.0,170.0,14.0,25.0
372301001003,2338.5850987500003,1875.4684133333337,138.5,172.2,11.0,22.0
372302001004,1520.666053,1588.0855473333334,154.4,158.5,11.0,22.0
372302006022,1347.8028222222222,2017.8779705555553,131.0,175.2,9.0,20.0
372302007003,2059.3111031666667,1828.3099886666666,174.0,177.2,14.0,25.0
372303004041,1934.9560139716104,1889.8543239166668,,162.0,6.0,17.0
372303006042,999.9440916666666,1579.9666666666665,109.0,175.0,5.0,16.0
372304019021,1820.2791535833337,2064.02216775,138.5,159.2,12.0,23.0
372401017004,1645.8035136666667,15875.88651177778,154.0,192.0,11.0,22.0
372401018005,1546.7178243333335,1536.7949326666667,174.0,180.0,14.0,25.0
411102007042,1645.5992773657927,1784.043668333333,128.0,164.5,7.0,18.0
411102011005,1412.0905266666668,1625.8703836666666,167.0,168.0,16.0,27.0
411102042004,1366.3253866666666,1538.006607333333,157.0,173.4,12.0,23.0
411103005041,903.2507932222221,1319.4409153333336,116.5,160.0,6.0,18.0
411103006041,778.761465,1719.079562,,165.8,4.0,15.0
411103014003,1452.3443253333335,1833.3172376666664,172.0,172.4,18.0,30.0
411103041003,1658.8999683333334,1508.5059439166669,156.0,166.2,12.0,23.0
411103042004,2301.944629,2041.004555666667,146.0,172.0,11.0,22.0
411103043004,1795.4248513333332,1693.3774993333334,,153.2,3.0,14.0
411103044003,1316.5637639999998,1546.1166666666668,151.0,156.9,14.0,25.0
411201006004,1867.8367286666664,2377.13547125,156.5,171.0,13.0,24.0
411201010021,1483.341119333333,1226.1284716666667,161.0,160.0,10.0,21.0
411201017003,2140.3046615000003,2176.61451,162.2,179.0,14.0,25.0
412101010063,1355.8723017777777,1415.8084792500001,,178.0,4.0,15.0
412101011032,2233.4351253333334,1037.57628,119.5,159.2,9.0,20.0
412101047003,1350.1172979444443,1972.4443724444445,168.6,175.5,15.0,26.0
412101047004,1705.9430391666665,1852.8844774444442,166.4,167.8,15.0,26.0
412103041003,1581.776720888889,2413.008027952381,123.5,173.4,6.0,17.0
412104002061,1451.2889016666666,1581.0428,89.0,158.3,2.0,13.0
412104017031,1735.537676,1317.8058926666665,133.1,169.5,9.0,20.0
412104017061,712.1380826666665,1598.1571136666669,92.0,172.4,2.0,13.0
412201004021,1611.0316666666665,2911.791869666667,131.0,163.0,10.0,21.0
412204002021,1223.249545,2604.7928309999998,131.3,173.0,9.0,20.0
412204012005,2412.512932,2284.846372,136.0,162.0,11.0,22.0
412301121003,1073.035,1641.8455145555554,,152.1,1.0,12.0
412302081063,831.8533333333334,1513.7751966666665,100.0,163.1,5.0,16.0
412303003061,1851.6117116666665,1922.2799199999997,,177.9,8.0,19.0
412303016003,2017.188425,3521.045179555555,140.0,170.7,11.0,22.0
412303017006,1376.6564646666666,1589.652953888889,94.0,155.4,4.0,15.0
412303018061,716.6143165000001,2399.5690336666667,95.0,160.9,3.0,14.0
412303061003,1136.8786836666666,933.5870516666668,,148.7,2.0,13.0
412304004003,2696.6485343333334,1848.9039686666667,160.0,163.4,16.0,26.0
412304017062,1205.416568,1451.0513486666669,,165.5,6.0,17.0
412401004021,1006.8827964444444,1054.0159621428572,,160.0,9.0,20.0
412402006061,537.3115746666667,1523.7722796666667,79.0,160.0,2.0,13.0
412402007021,1612.2470103333333,1282.7128333333333,123.0,134.9,10.0,21.0
412402083032,814.9016666666666,1132.0131468055554,123.0,167.0,7.0,18.0
412403010004,2724.2406106666663,2166.862925666667,166.0,167.0,18.0,29.0
412403013041,1255.171263,2421.8460333333333,105.0,159.0,6.0,17.0
412403017041,1859.3448066666667,2306.995372176101,117.0,180.0,6.0,17.0
412404003022,624.1148876666667,2405.579581666667,135.0,158.0,9.0,20.0
412404006042,639.6301836666668,1341.3547246666667,96.0,168.0,4.0,15.0
412404008042,1425.3371861111111,2039.2549,97.0,163.0,3.0,14.0
421101016041,1280.6307841666667,3199.664663333333,105.7,167.0,5.0,16.0
421101041003,1487.6715425,1919.4865291666665,99.5,170.0,3.0,14.0
421101042003,1030.744925,2369.9637455555558,111.8,158.5,5.0,16.0
421101061003,2359.0021166666666,2216.163655,120.0,164.0,6.0,17.0
421103002003,1834.5799153333335,2165.510824761905,144.1,156.8,13.0,24.0
421103041003,1460.3856966666665,1716.6468779166669,115.7,146.3,8.0,19.0
421104003002,474.9465108333334,1661.9269290476188,,145.5,15.0,26.0
421104010003,1852.2116666666668,2895.409073041525,163.2,173.5,16.0,28.0
421202012007,2334.282687166666,2153.4870416666668,151.8,163.0,12.0,23.0
421202015004,2035.8240493333335,1395.488051,177.5,173.2,14.0,25.0
421203004003,1766.135193666667,1484.5256650000001,,170.0,12.0,23.0
421203019064,2350.168597083333,2005.1102783333333,,173.2,16.0,26.0
421203041004,1712.3924414444446,3007.828500333333,156.2,163.4,13.0,24.0
421203042004,2449.979396666667,1924.9160685714287,147.4,168.0,13.0,23.0
421203044004,1463.1621379166666,1695.2529719444444,118.1,160.0,6.0,17.0
421204002004,2186.24635715873,2805.524407375,145.1,164.0,12.0,22.0
421204005031,2520.935888666667,3045.2108726666665,127.9,177.6,8.0,19.0
421204009005,1778.2808333333332,1954.2754208333336,139.2,178.2,12.0,23.0
421204011004,1352.8993719999999,1045.8783951644966,144.7,158.0,14.0,25.0
421204042004,1700.155984666667,1063.3990069999998,150.0,167.0,12.0,23.0
422101005003,1358.096577666667,2615.55448625,163.0,160.0,17.0,29.0
422103005041,1453.1420704166667,2313.4320328571425,118.0,176.1,6.0,17.0
422103017004,2207.446459166667,2249.2756525,157.1,162.0,18.0,29.0
422103061003,1620.23119,1915.0150208333332,120.0,160.0,7.0,18.0
422201012004,2359.41008175,4729.558199523809,143.5,177.0,11.0,22.0
422202002003,3252.08140375,4626.623727806394,171.5,171.0,19.0,30.0
422202014005,1825.2142087500004,2985.0743383333333,132.0,164.0,11.0,22.0
422202017006,2860.744588,2798.256766666667,154.0,173.0,13.0,24.0
422302012003,1285.1250183333334,2318.1390383333332,164.0,167.0,16.0,27.0
422302017004,2266.4973950000003,2422.522335916666,163.0,170.0,14.0,25.0
422302041005,1671.6330070833337,3685.481305,118.0,164.5,8.0,19.0
422302085003,690.335,2262.82870625,94.0,153.0,2.0,13.0
422303013042,1221.5047379999999,2565.6850746666664,107.0,178.0,4.0,15.0
422303014042,1561.2009633333334,2423.3519537499997,92.0,167.5,3.0,14.0
422304002042,678.3639676666667,2742.2512891666665,98.0,167.0,3.0,14.0
422304101004,669.9591666666666,2083.8073135833333,81.0,159.0,1.0,12.0
422401017003,2283.911211,2828.8051206666664,143.5,178.0,11.0,22.0
422404003004,1612.5137889999999,2203.386629666666,168.0,174.0,13.0,24.0
422404018005,845.3161070000001,2902.8256469999997,112.0,154.0,7.0,17.0
431101001003,1876.0262708333332,1631.0888836666666,149.5,172.0,13.0,24.0
431101004003,2245.3689026666666,2390.604209333334,172.0,173.8,18.0,29.0
431101004004,1637.2150708333331,1426.1289726666666,158.2,175.8,13.0,24.0
431101005004,2056.3072236666667,2385.102069416667,155.2,159.9,14.0,25.0
431101006004,2163.4455254166664,1262.8256566666666,178.0,180.0,16.0,28.0
431101008003,1576.5475059999999,2304.379656083333,161.0,164.0,16.0,27.0
431101008004,1846.7436225555557,3080.8079666666667,167.2,172.3,14.0,25.0
431101009003,1310.7510516666669,1358.8286266666667,147.6,180.2,11.0,22.0
431101010003,2032.314192,1735.9501183333332,153.6,158.0,16.0,27.0
431101010004,2062.8320803333336,1869.1765200000002,146.4,179.0,14.0,25.0
431101019003,2357.595679,2465.5332881111112,143.5,160.0,13.0,24.0
431101019021,2490.1840439999996,3731.449123888889,164.5,172.0,15.0,26.0
431102041003,2811.98834,1849.8496156666668,163.0,170.2,12.0,23.0
431102042004,1486.6458470000005,1319.8654484444444,,162.4,17.0,28.0
431102063003,3198.0808896666663,1328.4736679166665,158.5,164.0,16.0,27.0
