.rownames,country_code,country_name,services,agriculture,industrial,manufacturing,resources,exports,imports,military,.fittedPC1,.fittedPC2,pc1
70,SEN,Senegal,50.2567662693712,16.2158547282752,23.2300603568344,14.2997066240679,2.86963190075436,20.6697177628428,39.3350121891373,1.42009429984355,0.7405820873469586,-0.009835939968962815,-0.7405820873469586
71,SLE,Sierra Leone,30.9833584355299,59.4873958863112,5.24341034790062,1.8849057110218,8.22978194152241,15.0910699945656,36.4668677546578,0.546605434850038,2.2653134135728616,1.081501996705813,-2.2653134135728616
72,SLB,Solomon Islands,48.6359673456448,34.1198383133867,17.2449869224063,9.68138226202742,19.1938888891881,27.9384956804312,32.2818419592613,NA,0.8934837289619052,0.7077617409822107,-0.8934837289619052
73,ZAF,South Africa,64.7167592529524,2.52063944776343,23.2727872970934,11.6624161845594,4.01777511009808,27.6003027900055,23.2006787401901,1.10153175336212,0.46826360313600346,0.25626812215372957,-0.46826360313600346
74,SDN,Sudan,36.2433523267268,20.3208627539859,23.3281861558455,NA,9.29265238055366,0.459601288036464,0.29727425673994,1.13172569881236,1.5184868119814603,-0.802012576636167,-1.5184868119814603
75,SYR,Syrian Arab Republic,41.2736133107713,36.6333467358844,22.0930399533443,NA,6.37482598047532,14.7768104677012,33.6136385007733,NA,1.052172858727082,-0.1560527185608811,-1.052172858727082
76,TJK,Tajikistan,35.2521430281461,23.9638010774396,33.7965394725715,15.6258523576585,5.13513488386848,17.3243145704475,38.4247894490479,1.01068975228673,0.10210969233741907,-0.9082056594183122,-0.10210969233741907
77,TZA,Tanzania,36.2512490119485,26.7371112693473,28.6749346840959,8.50364684125901,3.85169508025186,14.2954876549757,15.308762347907,1.02622383527583,0.5922173224502494,-0.6534012098942407,-0.5922173224502494
78,THA,Thailand,58.0594633549598,8.69768165551579,33.2428549895245,25.4899775153514,1.1095683956846,51.5729501471872,46.2519755365693,1.4595203007321,-1.1879771370661067,0.4624118389382909,1.1879771370661067
79,TLS,Timor-Leste,48.5907629603954,13.1489399797832,36.8248298334278,1.53154765865251,34.3932968859447,36.7380169183598,48.1469802325691,1.16219772323079,-0.8722200466111121,-0.37432577234545994,0.8722200466111121
80,TGO,Togo,49.3151845646243,18.7766483059643,22.6999051573963,14.3810397364133,4.73168572169493,22.6936446280897,32.1476287628832,2.83898598749665,0.7005190062456587,0.1073355921850967,-0.7005190062456587
81,TUN,Tunisia,60.1845304070602,10.3802951349707,21.5374636180197,13.6938346649013,1.46717230583582,37.9501042351049,46.2906679907116,2.90774446975491,0.1924335929664343,0.7844923767075282,-0.1924335929664343
82,UGA,Uganda,42.8380040896187,23.9290337205103,26.4905245869762,15.7952567223933,7.56349041713714,15.4147985397289,21.585893851908,2.59714466527543,0.7075946915795174,-0.4510669367884974,-0.7075946915795174
83,UKR,Ukraine,55.7900164518172,9.31015109807472,20.7999429657705,10.1013826063601,1.09312749593482,38.8216462901934,40.3348060859881,3.81184948136676,0.2122138252701532,0.871980874720198,-0.2122138252701532
84,ARE,United Arab Emirates,56.8620662143186,0.963890712780097,42.1740430729015,10.2917800360059,11.9722335248016,95.9265985842984,70.6453007377593,NA,-3.56034644048482,1.5357840186845904,3.56034644048482
85,URY,Uruguay,63.0359637880189,7.28668644653781,18.0842506586349,10.2949202668467,2.29343009292959,25.0842825037863,20.739103024473,2.17767225367016,0.9433192532719247,0.5358594581193585,-0.9433192532719247
86,UZB,Uzbekistan,35.8382617682666,25.1214399709681,31.6736378935409,19.6366702713117,9.08357795040879,24.2880630917945,37.7412057195423,NA,-0.014007015536818906,-0.48332341897926445,0.014007015536818906
87,VNM,Vietnam,41.8311602650594,12.6553971925266,36.7437117015519,23.9472422133896,1.8108819584417,84.381594816559,78.8642626050018,NA,-2.7169855162763534,1.4822379283054876,2.7169855162763534
88,ZMB,Zambia,53.6163769921681,2.9770863463156,40.2578989774546,7.71536978063967,16.2222307618142,46.7901653766552,32.5353224461596,1.15422546153367,-1.512346624026982,-0.23352211835559866,1.512346624026982
89,ZWE,Zimbabwe,52.8925735550169,8.77285875573664,32.7675167489516,15.6965664465551,4.74666809490234,25.9170142887527,28.7335470109986,0.00540037569823946,-0.1568315425064517,-0.4995981600531836,0.1568315425064517
